"No.","Time","Source","Destination","Protocol","Length","Info"
"86","18.989430","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","2674","Application Data"
"87","18.989449","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=37017 Win=65535 Len=0"
"88","18.989615","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=39617 Win=65535 Len=0"
"89","18.996339","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","587","Application Data"
"90","18.996431","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=40130 Win=65535 Len=0"
"91","19.784297","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","104","Application Data"
"92","19.784656","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=12385 Ack=40130 Win=65535 Len=1440 [TCP PDU reassembled in 95]"
"93","19.784709","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=13825 Ack=40130 Win=65535 Len=1440 [TCP PDU reassembled in 95]"
"94","19.784728","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=15265 Ack=40130 Win=65535 Len=1440 [TCP PDU reassembled in 95]"
"95","19.784745","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","414","Application Data"
"96","19.784856","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=40130 Ack=12385 Win=65535 Len=0"
"97","19.785395","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=40130 Ack=13825 Win=65535 Len=0"
"98","19.785395","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=40130 Ack=15265 Win=65535 Len=0"
"99","19.785395","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=40130 Ack=16705 Win=65535 Len=0"
"100","19.785396","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=40130 Ack=17045 Win=65535 Len=0"
"101","22.976241","10.0.2.15","163.70.146.60","TLSv1.2","93","Application Data"
"102","22.977012","163.70.146.60","10.0.2.15","TCP","60","443  >  50166 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"103","24.278605","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","204","Application Data"
"104","24.278757","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=17045 Ack=40260 Win=65535 Len=0"
"105","24.285207","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","147","Application Data"
"106","24.286132","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=40260 Ack=17118 Win=65535 Len=0"
"107","24.363715","163.70.146.60","10.0.2.15","TLSv1.2","93","Application Data"
"108","24.363824","10.0.2.15","163.70.146.60","TCP","54","50166  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0"
"109","25.600116","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#2] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"110","25.601147","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#2] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"111","35.840524","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#3] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"112","35.841422","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#3] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"113","38.979241","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [RST, ACK] Seq=40260 Ack=17118 Win=65535 Len=0"
